samp,cmpd_name,area,cmpd_type,samp_type,sal,conc
240108_Smp_40ppt_Blk,Adenine,44789256,S,Smp,40,0
240108_Std_4uMStdsMix1InH2O_1,Adenine,6404635136,S,Std,NA,4
240108_Std_4uMStdsMix1InH2O_2,Adenine,11263833088,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Adenine,10455629824,S,Std,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Adenine,10165411840,S,Std,NA,4
240108_Poo_Syn_Full1,Adenosine,225538336,S,Poo,NA,0
240108_Poo_Syn_Full2,Adenosine,222598160,S,Poo,NA,0
240108_Poo_Syn_Full3,Adenosine,221520448,S,Poo,NA,0
240108_Poo_Syn_Half1,Adenosine,118029416,S,Poo,NA,0
240108_Poo_Syn_Half2,Adenosine,110444032,S,Poo,NA,0
240108_Poo_Syn_Half3,Adenosine,115644672,S,Poo,NA,0
240108_Smp_25ppt_A,Adenosine,484432896,S,Smp,25,0
240108_Smp_25ppt_B,Adenosine,225109968,S,Smp,25,0
240108_Smp_25ppt_Blk,Adenosine,643356,S,Smp,25,0
240108_Smp_30ppt_A,Adenosine,136916000,S,Smp,30,0
240108_Smp_30ppt_B,Adenosine,130516472,S,Smp,30,0
240108_Smp_30ppt_Blk,Adenosine,659871,S,Smp,30,0
240108_Smp_35ppt_A,Adenosine,221493408,S,Smp,35,0
240108_Smp_35ppt_B,Adenosine,112763528,S,Smp,35,0
240108_Smp_35ppt_Blk,Adenosine,464004,S,Smp,35,0
240108_Smp_40ppt_A,Adenosine,329838592,S,Smp,40,0
240108_Smp_40ppt_B,Adenosine,325617664,S,Smp,40,0
240108_Smp_40ppt_Blk,Adenosine,634391,S,Smp,40,0
240108_Std_4uMStdsMix2InH2O_1,Adenosine,2938855936,S,Std,NA,4
240108_Std_4uMStdsMix2InH2O_2,Adenosine,5405713920,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Adenosine,5559215104,S,Std,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Adenosine,5504672256,S,Std,NA,4
240108_Poo_Syn_Full1,Anserine,NA,S,Poo,NA,0
240108_Poo_Syn_Full2,Anserine,NA,S,Poo,NA,0
240108_Poo_Syn_Full3,Anserine,NA,S,Poo,NA,0
240108_Poo_Syn_Half1,Anserine,NA,S,Poo,NA,0
240108_Poo_Syn_Half2,Anserine,NA,S,Poo,NA,0
240108_Poo_Syn_Half3,Anserine,NA,S,Poo,NA,0
240108_Smp_25ppt_A,Anserine,79761,S,Smp,25,0
240108_Smp_25ppt_B,Anserine,35538,S,Smp,25,0
240108_Smp_25ppt_Blk,Anserine,196028,S,Smp,25,0
240108_Smp_30ppt_A,Anserine,NA,S,Smp,30,0
