samp,cmpd_name,bmis_area,sal,conc
240108_Poo_Syn_Half2,Anserine,NA,NA,0
240108_Poo_Syn_Half3,Anserine,NA,NA,0
240108_Smp_25ppt_A,Anserine,66497.86830427212,25,0
240108_Smp_25ppt_B,Anserine,30668.344355798847,25,0
240108_Smp_25ppt_Blk,Anserine,149925.51282191364,25,0
240108_Smp_30ppt_A,Anserine,NA,30,0
240108_Smp_30ppt_B,Anserine,NA,30,0
240108_Smp_30ppt_Blk,Anserine,NA,30,0
240108_Smp_35ppt_A,Anserine,NA,35,0
240108_Smp_35ppt_B,Anserine,NA,35,0
240108_Smp_35ppt_Blk,Anserine,41395.00876208714,35,0
240108_Smp_40ppt_A,Anserine,NA,40,0
240108_Smp_40ppt_B,Anserine,NA,40,0
240108_Smp_40ppt_Blk,Anserine,52917.90933643306,40,0
240108_Std_4uMStdsMix2InH2O_1,Anserine,NA,NA,4
240108_Std_4uMStdsMix2InH2O_2,Anserine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_1,Anserine,NA,NA,4
240108_Std_4uMStdsMix2InSynMatrix_2,Anserine,NA,NA,4
240108_Poo_Syn_Full1,Betonicine,519394.2623323275,NA,0
240108_Poo_Syn_Full2,Betonicine,849710.9408742834,NA,0
240108_Poo_Syn_Full3,Betonicine,461405.00519079244,NA,0
240108_Poo_Syn_Half1,Betonicine,1122927.7360283986,NA,0
240108_Poo_Syn_Half2,Betonicine,1108398.4185014633,NA,0
240108_Poo_Syn_Half3,Betonicine,696910.5107582731,NA,0
240108_Smp_25ppt_A,Betonicine,461524.8765928165,25,0
240108_Smp_25ppt_B,Betonicine,667474.2880623727,25,0
240108_Smp_25ppt_Blk,Betonicine,709159.8121009424,25,0
240108_Smp_30ppt_A,Betonicine,1990292.1381005899,30,0
240108_Smp_30ppt_B,Betonicine,1197149.8021060769,30,0
240108_Smp_30ppt_Blk,Betonicine,274558.49280792597,30,0
240108_Smp_35ppt_A,Betonicine,2933258.5001163613,35,0
240108_Smp_35ppt_B,Betonicine,2010897.127496142,35,0
240108_Smp_35ppt_Blk,Betonicine,1030729.0929674318,35,0
240108_Smp_40ppt_A,Betonicine,1088315.5687036128,40,0
240108_Smp_40ppt_B,Betonicine,1905175.3449292537,40,0
240108_Smp_40ppt_Blk,Betonicine,358140.4682855047,40,0
240108_Std_4uMStdsMix1InH2O_1,Betonicine,NA,NA,4
240108_Std_4uMStdsMix1InH2O_2,Betonicine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Betonicine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Betonicine,NA,NA,4
240108_Poo_Syn_Full1,Butyrylcarnitine,0,NA,0
240108_Poo_Syn_Full2,Butyrylcarnitine,69267.38404702065,NA,0
240108_Poo_Syn_Full3,Butyrylcarnitine,101475.84054580762,NA,0
240108_Poo_Syn_Half1,Butyrylcarnitine,93442.79702607373,NA,0
240108_Poo_Syn_Half2,Butyrylcarnitine,93829.06618127789,NA,0
240108_Poo_Syn_Half3,Butyrylcarnitine,45216.889905832664,NA,0
240108_Smp_25ppt_A,Butyrylcarnitine,143824.08267187155,25,0
240108_Smp_25ppt_B,Butyrylcarnitine,31618.121053890434,25,0
240108_Smp_25ppt_Blk,Butyrylcarnitine,62754.094739945736,25,0
240108_Smp_30ppt_A,Butyrylcarnitine,23523.550483648825,30,0
240108_Smp_30ppt_B,Butyrylcarnitine,43853.060249329545,30,0
240108_Smp_30ppt_Blk,Butyrylcarnitine,0,30,0
240108_Smp_35ppt_A,Butyrylcarnitine,81283.45864058081,35,0
240108_Smp_35ppt_B,Butyrylcarnitine,89740.89764882205,35,0
240108_Smp_35ppt_Blk,Butyrylcarnitine,16491.49850912203,35,0
240108_Smp_40ppt_A,Butyrylcarnitine,42534.75654377873,40,0
240108_Smp_40ppt_B,Butyrylcarnitine,42217.630433782135,40,0
240108_Smp_40ppt_Blk,Butyrylcarnitine,94560.74804455844,40,0
240108_Std_4uMStdsMix1InH2O_1,Butyrylcarnitine,NA,NA,4
240108_Std_4uMStdsMix1InH2O_2,Butyrylcarnitine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_1,Butyrylcarnitine,NA,NA,4
240108_Std_4uMStdsMix1InSynMatrix_2,Butyrylcarnitine,NA,NA,4
240108_Poo_Syn_Full1,Carnitine,194919.1029523736,NA,0
240108_Poo_Syn_Full2,Carnitine,915472.5786686837,NA,0
240108_Poo_Syn_Full3,Carnitine,684126.2959169508,NA,0
240108_Poo_Syn_Half1,Carnitine,272027.330533706,NA,0
240108_Poo_Syn_Half2,Carnitine,400897.0890128796,NA,0
240108_Poo_Syn_Half3,Carnitine,294696.57394815073,NA,0
240108_Smp_25ppt_A,Carnitine,233475.85318496518,25,0
240108_Smp_25ppt_B,Carnitine,283134.41370221414,25,0
240108_Smp_25ppt_Blk,Carnitine,1554789.8080170508,25,0
240108_Smp_30ppt_A,Carnitine,1568667.5474492179,30,0
240108_Smp_30ppt_B,Carnitine,711409.9166428689,30,0
240108_Smp_30ppt_Blk,Carnitine,468638.60309703334,30,0
240108_Smp_35ppt_A,Carnitine,1302213.0976449365,35,0
240108_Smp_35ppt_B,Carnitine,1312961.429455404,35,0
240108_Smp_35ppt_Blk,Carnitine,93914.29903306882,35,0
240108_Smp_40ppt_A,Carnitine,690419.9884940106,40,0
240108_Smp_40ppt_B,Carnitine,8468.550367975491,40,0
240108_Smp_40ppt_Blk,Carnitine,127127.13099895803,40,0
240108_Std_4uMStdsMix1InH2O_1,Carnitine,NA,NA,1
240108_Std_4uMStdsMix1InH2O_2,Carnitine,NA,NA,1
240108_Std_4uMStdsMix1InSynMatrix_1,Carnitine,NA,NA,1
240108_Std_4uMStdsMix1InSynMatrix_2,Carnitine,NA,NA,1
